SourceFileId,TripEndTime,VehicleId,TripDistance,DriveFuel,DriveFuelEconomy,DistanceAvgLoadFactor,Drivetime,StopIdleTime,StopIdleFuel,StopIdlePercent,BrakeCount,HardBrakeCount,EngineBraketime,CruiseTime,OverSpeedAtime,OverSpeedBtime,EngineFantime,TopGearDistance,TopGearMinusOneDistance,DistanceAvgvehiclespeed
40644,10/6/2017,252,6593.7,996.63,6.62,0.44,449964,415260,49.38,0.47,2055,48,1332108,27504,16200,36,788832,4417.8,29.9,52.75
40671,10/19/2017,264,4124.9,622.75,6.62,0.46,259812,160236,16.88,0.37,1469,0,72324,204552,9396,684,202284,3930.3,62.2,57.16
39895,4/14/2017,268,7906.5,1194.25,6.62,0.49,490896,110520,10.63,0.18,2687,3,90108,308844,18684,1476,337284,7402.9,232.4,57.98
40713,11/26/2017,282,5430.1,820.13,6.62,0.47,347976,41112,3.88,0.1,1304,0,308016,204408,10944,540,241380,5119.9,153.6,56.18
40651,9/29/2017,268,4873.9,735.63,6.63,0.47,308952,225504,26.13,0.41,2192,0,109044,191232,16092,1620,457812,4440.4,215.3,56.79
40443,6/23/2017,261,13846.3,2086.25,6.64,0.44,908964,672876,68,0.41,4602,9,1045404,587376,71064,5256,590436,11844.7,1158.6,54.84
40746,12/24/2017,280,4422,665.13,6.65,0.49,260064,45756,4.25,0.14,956,1,595224,125496,172692,5004,137952,3935.4,343.3,61.21
28637,9/18/2016,284,281246.5,42313.5,6.65,0.46,18033228,20207160,1935.13,0.52,78039,37,108756,8696340,429624,32256,19091340,262315.7,9663.4,56.15
40092,4/20/2017,279,10377.7,1558.88,6.66,0.45,681768,158796,13.25,0.18,4482,0,173484,460080,8928,1404,596268,9474.8,408.4,54.8
40599,8/28/2017,279,5304,794.75,6.67,0.49,327420,87120,8.63,0.2,2104,5,194652,213192,24552,1116,403308,5106.3,96.4,58.32
39299,2/5/2017,338,210821.6,31595,6.67,0.44,14458248,11085228,2074.63,0.42,89565,124,1405260,6741900,1618128,9504,6086916,194212.7,7787.4,52.49
40220,5/22/2017,268,12558.5,1877.25,6.69,0.48,771552,263988,27.75,0.25,4000,4,93888,517932,40716,6084,721800,11831.9,349.3,58.6
39141,12/27/2016,267,10095,1508,6.69,0.48,644292,554328,48.13,0.45,2743,1,863892,132300,202644,1872,20160,9269.4,437,56.41
